iteration,EPT,EPI
28100,1.180E-03,0.000E+00
28200,1.185E-03,0.000E+00
28300,1.123E-03,0.000E+00
28400,1.046E-03,0.000E+00
28500,1.001E-03,0.000E+00
28600,9.690E-04,0.000E+00
28700,1.019E-03,0.000E+00
28800,1.021E-03,0.000E+00
28900,1.015E-03,0.000E+00
29000,9.718E-04,0.000E+00
29100,1.018E-03,0.000E+00
29200,1.054E-03,0.000E+00
29300,1.020E-03,0.000E+00
29400,9.942E-04,0.000E+00
29500,9.897E-04,0.000E+00
29600,9.672E-04,0.000E+00
29700,9.289E-04,0.000E+00
29800,9.767E-04,0.000E+00
29900,9.789E-04,0.000E+00
30000,1.026E-03,0.000E+00
30100,1.103E-03,0.000E+00
30200,1.064E-03,0.000E+00
30300,1.034E-03,0.000E+00
30400,1.081E-03,0.000E+00
30500,1.079E-03,0.000E+00
30600,1.082E-03,0.000E+00
30700,1.056E-03,0.000E+00
30800,9.990E-04,0.000E+00
30900,9.888E-04,0.000E+00
31000,1.009E-03,0.000E+00
31100,1.011E-03,0.000E+00
31200,9.936E-04,0.000E+00
31300,9.659E-04,0.000E+00
31400,1.023E-03,0.000E+00
31500,1.054E-03,0.000E+00
31600,1.062E-03,0.000E+00
31700,9.943E-04,0.000E+00
31800,9.939E-04,0.000E+00
31900,9.760E-04,0.000E+00
32000,9.903E-04,0.000E+00
32100,1.039E-03,0.000E+00
32200,1.067E-03,0.000E+00
32300,1.105E-03,0.000E+00
32400,1.144E-03,0.000E+00
32500,1.139E-03,0.000E+00
32600,1.117E-03,0.000E+00
32700,1.158E-03,0.000E+00
32800,1.160E-03,0.000E+00
32900,1.195E-03,0.000E+00
33000,1.147E-03,0.000E+00
33100,1.076E-03,0.000E+00
33200,9.985E-04,0.000E+00
33300,9.879E-04,0.000E+00
33400,9.923E-04,0.000E+00
33500,1.026E-03,0.000E+00
33600,1.008E-03,0.000E+00
33700,9.838E-04,0.000E+00
33800,9.814E-04,0.000E+00
33900,1.055E-03,0.000E+00
34000,1.034E-03,0.000E+00
34100,9.957E-04,0.000E+00
34200,9.931E-04,0.000E+00
34300,9.775E-04,0.000E+00
34400,9.444E-04,0.000E+00
34500,9.518E-04,0.000E+00
34600,9.789E-04,0.000E+00
34700,1.005E-03,0.000E+00
34800,1.085E-03,0.000E+00
34900,1.082E-03,0.000E+00
35000,1.038E-03,0.000E+00
35100,1.065E-03,0.000E+00
35200,1.081E-03,0.000E+00
35300,1.076E-03,0.000E+00
35400,1.074E-03,0.000E+00
35500,1.021E-03,0.000E+00
35600,9.767E-04,0.000E+00
35700,1.004E-03,0.000E+00
35800,1.012E-03,0.000E+00
35900,1.002E-03,0.000E+00
36000,9.734E-04,0.000E+00
36100,1.006E-03,0.000E+00
36200,1.046E-03,0.000E+00
36300,1.039E-03,0.000E+00
36400,9.990E-04,0.000E+00
36500,9.960E-04,0.000E+00
36600,9.845E-04,0.000E+00
36700,9.667E-04,0.000E+00
36800,1.024E-03,0.000E+00
36900,1.064E-03,0.000E+00
37000,1.079E-03,0.000E+00
37100,1.136E-03,0.000E+00
37200,1.150E-03,0.000E+00
37300,1.111E-03,0.000E+00
37400,1.151E-03,0.000E+00
37500,1.152E-03,0.000E+00
37600,1.191E-03,0.000E+00
37700,1.169E-03,0.000E+00
37800,1.104E-03,0.000E+00
37900,1.023E-03,0.000E+00
38000,1.002E-03,0.000E+00
38100,9.733E-04,0.000E+00
38200,1.026E-03,0.000E+00
38300,1.016E-03,0.000E+00
38400,9.939E-04,0.000E+00
38500,9.615E-04,0.000E+00
38600,1.036E-03,0.000E+00
38700,1.046E-03,0.000E+00
38800,1.010E-03,0.000E+00
38900,9.944E-04,0.000E+00
39000,9.864E-04,0.000E+00
39100,9.581E-04,0.000E+00
39200,9.395E-04,0.000E+00
39300,9.823E-04,0.000E+00
39400,9.779E-04,0.000E+00
39500,1.052E-03,0.000E+00
39600,1.098E-03,0.000E+00
39700,1.050E-03,0.000E+00
39800,1.036E-03,0.000E+00
39900,1.082E-03,0.000E+00
40000,1.070E-03,0.000E+00
40100,1.085E-03,0.000E+00
40200,1.042E-03,0.000E+00
40300,9.824E-04,0.000E+00
40400,1.005E-03,0.000E+00
40500,1.011E-03,0.000E+00
40600,1.008E-03,0.000E+00
40700,9.860E-04,0.000E+00
40800,9.859E-04,0.000E+00
40900,1.034E-03,0.000E+00
41000,1.049E-03,0.000E+00
41100,1.016E-03,0.000E+00
41200,9.958E-04,0.000E+00
41300,9.908E-04,0.000E+00
41400,9.687E-04,0.000E+00
41500,1.005E-03,0.000E+00
41600,1.050E-03,0.000E+00
