iteration;EPT;EPI
46300;1.358E-05;0.000E+00
46400;1.008E-05;0.000E+00
46500;8.227E-06;0.000E+00
46600;1.173E-05;0.000E+00
46700;1.448E-05;0.000E+00
46800;9.418E-06;0.000E+00
46900;7.914E-06;0.000E+00
47000;1.299E-05;0.000E+00
47100;9.533E-06;0.000E+00
47200;9.963E-06;0.000E+00
47300;7.742E-06;0.000E+00
47400;1.203E-05;0.000E+00
47500;1.152E-05;0.000E+00
47600;6.147E-06;0.000E+00
47700;1.256E-05;0.000E+00
47800;1.187E-05;0.000E+00
47900;9.586E-06;0.000E+00
48000;9.861E-06;0.000E+00
48100;1.593E-05;0.000E+00
48200;1.058E-05;0.000E+00
48300;6.450E-06;0.000E+00
48400;1.270E-05;0.000E+00
48500;1.188E-05;0.000E+00
48600;9.877E-06;0.000E+00
48700;7.448E-06;0.000E+00
48800;1.314E-05;0.000E+00
48900;1.071E-05;0.000E+00
49000;7.283E-06;0.000E+00
49100;1.029E-05;0.000E+00
49200;1.432E-05;0.000E+00
49300;8.804E-06;0.000E+00
49400;8.439E-06;0.000E+00
49500;1.190E-05;0.000E+00
49600;1.125E-05;0.000E+00
49700;9.634E-06;0.000E+00
49800;7.315E-06;0.000E+00
49900;1.227E-05;0.000E+00
50000;1.058E-05;0.000E+00
50100;7.371E-06;0.000E+00
50200;1.253E-05;0.000E+00
50300;1.154E-05;0.000E+00
50400;9.144E-06;0.000E+00
50500;9.943E-06;0.000E+00
50600;1.568E-05;0.000E+00
50700;1.007E-05;0.000E+00
50800;7.440E-06;0.000E+00
50900;1.203E-05;0.000E+00
51000;1.176E-05;0.000E+00
51100;9.815E-06;0.000E+00
51200;5.817E-06;0.000E+00
51300;1.271E-05;0.000E+00
51400;1.067E-05;0.000E+00
51500;7.877E-06;0.000E+00
51600;9.680E-06;0.000E+00
51700;1.447E-05;0.000E+00
51800;9.540E-06;0.000E+00
51900;7.639E-06;0.000E+00
52000;1.319E-05;0.000E+00
52100;9.823E-06;0.000E+00
52200;8.699E-06;0.000E+00
52300;8.425E-06;0.000E+00
52400;1.226E-05;0.000E+00
52500;9.811E-06;0.000E+00
52600;7.566E-06;0.000E+00
52700;1.323E-05;0.000E+00
52800;1.083E-05;0.000E+00
52900;8.564E-06;0.000E+00
53000;1.050E-05;0.000E+00
53100;1.371E-05;0.000E+00
53200;9.778E-06;0.000E+00
53300;7.556E-06;0.000E+00
53400;9.772E-06;0.000E+00
53500;1.192E-05;0.000E+00
53600;1.010E-05;0.000E+00
53700;6.247E-06;0.000E+00
53800;1.214E-05;0.000E+00
53900;1.133E-05;0.000E+00
54000;7.609E-06;0.000E+00
54100;1.021E-05;0.000E+00
54200;1.479E-05;0.000E+00
54300;9.151E-06;0.000E+00
54400;8.003E-06;0.000E+00
54500;1.648E-05;0.000E+00
54600;1.054E-05;0.000E+00
54700;7.262E-06;0.000E+00
54800;1.125E-05;0.000E+00
54900;1.295E-05;0.000E+00
55000;9.595E-06;0.000E+00
55100;8.252E-06;0.000E+00
55200;1.341E-05;0.000E+00
55300;1.110E-05;0.000E+00
55400;8.609E-06;0.000E+00
55500;1.070E-05;0.000E+00
55600;1.528E-05;0.000E+00
55700;9.122E-06;0.000E+00
55800;6.912E-06;0.000E+00
55900;1.163E-05;0.000E+00
56000;1.014E-05;0.000E+00
56100;1.028E-05;0.000E+00
56200;7.802E-06;0.000E+00
56300;1.302E-05;0.000E+00
56400;1.155E-05;0.000E+00
56500;7.154E-06;0.000E+00
56600;1.234E-05;0.000E+00
56700;1.171E-05;0.000E+00
56800;1.012E-05;0.000E+00
56900;9.142E-06;0.000E+00
57000;1.628E-05;0.000E+00
57100;1.048E-05;0.000E+00
57200;7.310E-06;0.000E+00
57300;1.170E-05;0.000E+00
57400;1.218E-05;0.000E+00
57500;9.913E-06;0.000E+00
57600;6.434E-06;0.000E+00
57700;1.300E-05;0.000E+00
57800;1.076E-05;0.000E+00
57900;7.176E-06;0.000E+00
58000;9.013E-06;0.000E+00
58100;1.419E-05;0.000E+00
58200;9.502E-06;0.000E+00
58300;8.281E-06;0.000E+00
58400;1.176E-05;0.000E+00
58500;1.065E-05;0.000E+00
58600;9.479E-06;0.000E+00
58700;7.446E-06;0.000E+00
58800;1.206E-05;0.000E+00
58900;1.062E-05;0.000E+00
59000;7.357E-06;0.000E+00
59100;1.265E-05;0.000E+00
59200;1.142E-05;0.000E+00
59300;9.389E-06;0.000E+00
59400;9.360E-06;0.000E+00
59500;1.579E-05;0.000E+00
59600;9.981E-06;0.000E+00
59700;7.302E-06;0.000E+00
59800;9.884E-06;0.000E+00
59900;1.228E-05;0.000E+00
60000;1.021E-05;0.000E+00
60100;6.067E-06;0.000E+00
60200;1.220E-05;0.000E+00
60300;1.092E-05;0.000E+00
